时间,机构1牵制拉力1(kN),机构1牵制拉力2(kN),机构2牵制拉力1(kN),机构2牵制拉力2(kN),机构3牵制拉力1(kN),机构3牵制拉力2(kN),机构4牵制拉力1(kN),机构4牵制拉力2(kN),机构1牵制状态角(°),机构2牵制状态角(°),机构3牵制状态角(°),机构4牵制状态角(°),机构1储气罐压力1(MPa),机构1储气罐压力2(MPa),机构2储气罐压力1(MPa),机构2储气罐压力2(MPa),机构3储气罐压力1(MPa),机构3储气罐压力2(MPa),机构4储气罐压力1(MPa),机构4储气罐压力2(MPa),机构1内部温度(°C),机构2内部温度(°C),机构3内部温度(°C),机构4内部温度(°C),机构1解锁到位时间(s),机构2解锁到位时间(s),机构3解锁到位时间(s),机构4解锁到位时间(s),机构1释放好时间(s),机构2释放好时间(s),机构3释放好时间(s),机构4释放好时间(s),机构1释放到位时间(s),机构2释放到位时间(s),机构3释放到位时间(s),机构4释放到位时间(s),机构1火引爆时间,机构2火引爆时间,机构3火引爆时间,机构4火引爆时间,数字供电,驱动供电1,驱动供电2,5V1,5V2,5V3,帧计数
2026-05-04 16:47:29.357,--,--,--,--,--,--,--,--,-137.72,55.36,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.04,5.01,45
2026-05-04 16:47:29.460,--,--,--,--,--,--,--,--,-137.71,55.35,-71.52,-228.07,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.01,4.98,50
2026-05-04 16:47:29.553,--,--,--,--,--,--,--,--,-137.71,55.34,-71.52,-228.04,--,--,--,--,--,--,--,--,24.96,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,4.95,4.98,55
2026-05-04 16:47:29.651,--,--,--,--,--,--,--,--,-137.72,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.01,4.98,60
2026-05-04 16:47:29.795,--,--,--,--,--,--,--,--,-137.71,55.35,-71.52,-228.03,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,4.98,4.98,65
2026-05-04 16:47:29.898,--,--,--,--,--,--,--,--,-137.72,55.34,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.04,4.98,70
2026-05-04 16:47:29.992,--,--,--,--,--,--,--,--,-137.71,55.36,-71.51,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.04,5.01,75
2026-05-04 16:47:30.060,--,--,--,--,--,--,--,--,-137.71,55.36,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.01,5.01,80
2026-05-04 16:47:30.159,--,--,--,--,--,--,--,--,-137.72,55.36,-71.52,-228.04,--,--,--,--,--,--,--,--,24.96,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.01,4.98,85
2026-05-04 16:47:30.245,--,--,--,--,--,--,--,--,-137.71,55.34,-71.51,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.01,5.01,90
2026-05-04 16:47:30.381,--,--,--,--,--,--,--,--,-137.72,55.34,-71.52,-228.04,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.04,5.01,95
2026-05-04 16:47:30.479,--,--,--,--,--,--,--,--,-137.72,55.35,-71.51,-228.04,--,--,--,--,--,--,--,--,24.96,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.04,4.98,100
2026-05-04 16:47:30.545,--,--,--,--,--,--,--,--,-137.71,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.01,4.98,105
2026-05-04 16:47:30.642,--,--,--,--,--,--,--,--,-137.72,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,4.98,4.98,110
2026-05-04 16:47:30.711,--,--,--,--,--,--,--,--,-137.70,55.34,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.01,4.98,115
2026-05-04 16:47:30.808,--,--,--,--,--,--,--,--,-137.71,55.34,-71.52,-228.04,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,5.01,4.98,120
2026-05-04 16:47:30.881,--,--,--,--,--,--,--,--,-137.72,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,4.98,4.98,125
2026-05-04 16:47:30.982,--,--,--,--,--,--,--,--,-137.71,55.36,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,4.98,4.98,130
2026-05-04 16:47:31.048,--,--,--,--,--,--,--,--,-137.72,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0.00,0.00,4.981,4.95,5.01,135
2026-05-04 16:47:31.135,--,--,--,--,--,--,--,--,-137.71,55.36,-71.52,-228.04,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.04,5.01,892
2026-05-04 16:47:31.244,--,--,--,--,--,--,--,--,-137.71,55.35,-71.53,-228.04,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,4.95,5.01,897
2026-05-04 16:47:31.291,--,--,--,--,--,--,--,--,-137.72,55.34,-71.52,-228.04,--,--,--,--,--,--,--,--,24.96,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.01,5.01,902
2026-05-04 16:47:31.337,--,--,--,--,--,--,--,--,-137.70,55.36,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,4.98,4.98,907
2026-05-04 16:47:31.356,--,--,--,--,--,--,--,--,-137.72,55.34,-71.53,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.01,4.98,910
2026-05-04 16:47:32.385,--,--,--,--,--,--,--,--,-137.71,55.36,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,4.98,4.98,911
2026-05-04 16:47:32.478,--,--,--,--,--,--,--,--,-137.72,55.36,-71.53,-228.05,--,--,--,--,--,--,--,--,25.03,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.04,5.01,916
2026-05-04 16:47:32.582,--,--,--,--,--,--,--,--,-137.71,55.35,-71.53,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,4.98,5.01,921
2026-05-04 16:47:32.655,--,--,--,--,--,--,--,--,-137.71,55.35,-71.51,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.04,4.98,926
2026-05-04 16:47:32.727,--,--,--,--,--,--,--,--,-137.71,55.36,-71.51,-228.04,--,--,--,--,--,--,--,--,25.03,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,4.98,4.98,931
2026-05-04 16:47:32.794,--,--,--,--,--,--,--,--,-137.71,55.34,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,4.95,5.01,936
2026-05-04 16:47:33.248,--,--,--,--,--,--,--,--,-137.71,55.35,-71.53,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.01,4.98,941
2026-05-04 16:47:33.323,--,--,--,--,--,--,--,--,-137.71,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,4.98,4.98,946
2026-05-04 16:47:33.402,--,--,--,--,--,--,--,--,-137.72,55.35,-71.52,-228.07,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,52.20,4.981,5.04,4.98,951
2026-05-04 16:47:33.492,--,--,--,--,--,--,--,--,-137.71,55.36,-71.53,-228.07,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,52.20,4.981,4.98,5.01,956
2026-05-04 16:47:33.532,--,--,--,--,--,--,--,--,-137.71,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.04,4.98,961
2026-05-04 16:47:33.617,--,--,--,--,--,--,--,--,-137.71,55.36,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.04,4.98,966
2026-05-04 16:47:33.647,--,--,--,--,--,--,--,--,-137.71,55.33,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.01,4.98,971
2026-05-04 16:47:33.682,--,--,--,--,--,--,--,--,-137.71,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,25.03,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.01,5.01,976
2026-05-04 16:47:33.713,--,--,--,--,--,--,--,--,-137.71,55.34,-71.52,-228.04,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.01,4.98,981
2026-05-04 16:47:33.743,--,--,--,--,--,--,--,--,-137.71,55.35,-71.52,-228.04,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.01,5.01,986
2026-05-04 16:47:33.786,--,--,--,--,--,--,--,--,-137.71,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,25.03,25.26,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.01,4.98,991
2026-05-04 16:47:33.836,--,--,--,--,--,--,--,--,-137.73,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,5.01,4.98,996
2026-05-04 16:47:33.884,--,--,--,--,--,--,--,--,-137.70,55.33,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,52.20,4.981,5.04,4.98,1001
2026-05-04 16:47:33.937,--,--,--,--,--,--,--,--,-137.70,55.35,-71.52,-228.05,--,--,--,--,--,--,--,--,24.96,25.19,24.39,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,31.78,51.45,4.981,4.98,4.98,1006
2026-05-04 16:47:33.967,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4328
2026-05-04 16:47:33.968,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4333
2026-05-04 16:47:33.970,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4338
2026-05-04 16:47:33.971,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4343
2026-05-04 16:47:33.973,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4348
2026-05-04 16:47:33.974,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4353
2026-05-04 16:47:33.976,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4358
2026-05-04 16:47:33.978,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4363
2026-05-04 16:47:33.979,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4368
2026-05-04 16:47:33.980,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4373
2026-05-04 16:47:33.983,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4378
2026-05-04 16:47:33.984,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4383
2026-05-04 16:47:33.985,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4388
2026-05-04 16:47:33.990,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4393
